Semana,Teórica Fecha,Teórica Temas,Teórica Modalidad,Teórica Badge,Práctica Fecha,Práctica Temas,Práctica Modalidad,Práctica Badge
1,18/08,"Lenguaje C:
- Tipos de Datos
- Compilación
- Funciones",Presencial,,20/08,"- Régimen de cursada
Modularización:
- Buenas prácticas",Presencial,
2,25/08,"- Pasaje por valor y referencia
- Punteros
- Vectores (inserción, eliminación y búsqueda lineal)",Presencial,,27/08,"- Vectores (búsqueda lineal)
- Punteros
- Pasaje por valor y referencia",Presencial,
3,01/09,"- Matrices
- Structs",Presencial,,03/09,"- Matrices
- Structs",Presencial,TP0
4,08/09,"- Recursividad
- Búsqueda binaria",Presencial,,10/09,,Presencial,"Laboratorio, Entrega TP0"
5,15/09,"- Bibliotecas
- Strings
- Debugging",Presencial,,17/09,"- Recursividad
- Strings
- Bibliotecas",Presencial,TP1
6,22/09,"Ordenamiento:
- Burbujeo
- Selección
- Inserción
- Inserción ordenada
- Eliminación ordenada",Presencial,,24/09,,Presencial,Laboratorio de parcial
7,29/09,,Presencial,Repaso de parcial,01/10,,Presencial,Parcial
8,06/10,"Memoria dinámica:
- Aritmética de punteros
- Malloc
- Free",Presencial,,08/10,"Memoria dinámica:
- Aritmética de punteros
- Malloc
- Free",Presencial,
9,13/10,"Memoria dinámica 2.0
- Realloc
- void*
- Valgrind
- TDAs
- Vector dinámico",Presencial,,15/10,"- Memoria dinámica
- TDAs
- Vector dinámico",Presencial,
10,20/10,"Líneas de comando
TDAs:
- Pilas
- Colas
- Lista enlazada",Presencial,,22/10,"TDAs:
- Pilas
- Colas
- Lista enlazada",Presencial,Entrega TP1
11,27/10,,Virtual,Repaso para recuperatorio,29/10,,Virtual,Recuperatorio primer parcial
12,03/11,"Manejo de archivos de texto en C
CSV",Virtual,,05/11,"- Archivos CSV
- TDAs",Virtual,Reentrega TP1
13,10/11,"Operaciones con archivos:
- Mezcla
- Unión
- Diferencias
- Intersección",Presencial/Virtual,,12/11,"Operaciones con archivos:
- Mezcla
- Unión
- Diferencias
- Intersección",Presencial/Virtual,
14,17/11,,Presencial,Repaso de parcial,19/11,,Presencial,Segundo parcial
15,24/11,Clase extra,Virtual,,26/11,,Virtual,
16,01/12,Retrospectiva,Presencial,,03/12,,Presencial,Recuperatorio segundo parcial
17,,,,,10/12,,,Recuperatorio extra
